Category,Total_Businesses,Avg_Rating,No_Website_Count,No_Website_Pct
School,116,4.17,0,0.0
Hotel,90,4.2,3,3.3
Bank,90,4.13,0,0.0
Hospital,88,4.23,4,4.5
College,87,4.14,1,1.1
Supermarket,86,4.27,0,0.0
Cafe,83,4.3,5,6.0
Grocery Store,81,4.21,0,0.0
Restaurant,79,4.19,7,8.9
Furniture,76,4.31,0,0.0
Clinic,73,4.18,0,0.0
Electronics,73,4.29,0,0.0
Office,68,4.16,0,0.0
ATM,65,4.27,0,0.0
Jewelry,64,4.31,0,0.0
Hardware,63,4.37,0,0.0
Gym,63,4.25,0,0.0
Salon,62,4.19,0,0.0
Clothing,60,4.29,0,0.0
Mobile Store,59,4.22,0,0.0
Fuel Station,59,4.22,0,0.0
Bakery,53,4.25,2,3.8
Shopping Mall,12,3.93,8,66.7
